"Pathway1","Pathway2","Corr"
"BIOCARTA_CTBP1_PATHWAY","BIOCARTA_MCM_PATHWAY",0.473441862716978
"BIOCARTA_PRION_PATHWAY","BIOCARTA_RECK_PATHWAY",0.652480002155236
"BIOCARTA_PRION_PATHWAY","BIOCARTA_PLATELETAPP_PATHWAY",0.552608344270621
"BIOCARTA_PRION_PATHWAY","BIOCARTA_LDL_PATHWAY",0.550770438945267
"BIOCARTA_PRION_PATHWAY","BIOCARTA_CARDIACEGF_PATHWAY",0.543581532256304
"BIOCARTA_PRION_PATHWAY","BIOCARTA_UCALPAIN_PATHWAY",0.541741427990052
"BIOCARTA_PLK3_PATHWAY","BIOCARTA_G2_PATHWAY",0.748495852064331
"BIOCARTA_PLK3_PATHWAY","BIOCARTA_RB_PATHWAY",0.738412612206843
"BIOCARTA_PLK3_PATHWAY","BIOCARTA_CDC25_PATHWAY",0.707018421241354
"BIOCARTA_PLK3_PATHWAY","BIOCARTA_ATRBRCA_PATHWAY",0.669599601389847
"BIOCARTA_PLK3_PATHWAY","BIOCARTA_ATM_PATHWAY",0.594859778071827
"BIOCARTA_FXR_PATHWAY","BIOCARTA_NUCLEARRS_PATHWAY",0.721635459087839
"BIOCARTA_FXR_PATHWAY","BIOCARTA_EXTRINSIC_PATHWAY",0.572707756996095
"BIOCARTA_FXR_PATHWAY","BIOCARTA_PEPI_PATHWAY",0.552756861408564
"BIOCARTA_FXR_PATHWAY","BIOCARTA_ERBB3_PATHWAY",0.490290095988468
"BIOCARTA_FXR_PATHWAY","BIOCARTA_MRP_PATHWAY",0.481667874716352
"BIOCARTA_MHC_PATHWAY","BIOCARTA_EOSINOPHILS_PATHWAY",0.718479629518259
"BIOCARTA_MHC_PATHWAY","BIOCARTA_BBCELL_PATHWAY",0.704160887627513
"BIOCARTA_MHC_PATHWAY","BIOCARTA_TH1TH2_PATHWAY",0.666123278768435
"BIOCARTA_MHC_PATHWAY","BIOCARTA_IL5_PATHWAY",0.664465458008362
"BIOCARTA_MHC_PATHWAY","BIOCARTA_BLYMPHOCYTE_PATHWAY",0.656751062633636
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_EICOSANOID_PATHWAY",0.549401645849409
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_NUCLEARRS_PATHWAY",0.479848589924764
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_PEPI_PATHWAY",0.47736782883067
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_CYTOKINE_PATHWAY",0.468556585584384
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_IL17_PATHWAY",0.458108945633654
"BIOCARTA_PRC2_PATHWAY","BIOCARTA_VDR_PATHWAY",0.735738490066194
"BIOCARTA_PRC2_PATHWAY","BIOCARTA_ATRBRCA_PATHWAY",0.703308155276429
"BIOCARTA_PRC2_PATHWAY","BIOCARTA_BARD1_PATHWAY",0.68970475712809
"BIOCARTA_PRC2_PATHWAY","BIOCARTA_HSWI_SNF_PATHWAY",0.683014587909567
"BIOCARTA_PRC2_PATHWAY","BIOCARTA_CARM_ER_PATHWAY",0.660723391326301
"BIOCARTA_SM_PATHWAY","BIOCARTA_MCM_PATHWAY",0.690605480611078
"BIOCARTA_SM_PATHWAY","BIOCARTA_NPC_PATHWAY",0.689396791349359
"BIOCARTA_SM_PATHWAY","BIOCARTA_RAN_PATHWAY",0.687081480346198
"BIOCARTA_SM_PATHWAY","BIOCARTA_P27_PATHWAY",0.684413071412428
"BIOCARTA_SM_PATHWAY","BIOCARTA_RANMS_PATHWAY",0.672385369946027
"BIOCARTA_RANBP2_PATHWAY","BIOCARTA_PRC2_PATHWAY",0.645837763956456
"BIOCARTA_RANBP2_PATHWAY","BIOCARTA_G2_PATHWAY",0.62191964875342
