Pathway1,Pathway2,Edge_Type
BIOCARTA_CBL_PATHWAY,BIOCARTA_TPO_PATHWAY,STRING_900
BIOCARTA_CBL_PATHWAY,BIOCARTA_TRKA_PATHWAY,STRING_900
BIOCARTA_CCR3_PATHWAY,BIOCARTA_CXCR4_PATHWAY,STRING_900
BIOCARTA_CCR3_PATHWAY,BIOCARTA_AT1R_PATHWAY,STRING_900
BIOCARTA_CCR3_PATHWAY,BIOCARTA_PAR1_PATHWAY,STRING_900
BIOCARTA_CCR3_PATHWAY,BIOCARTA_PYK2_PATHWAY,STRING_900
BIOCARTA_CCR3_PATHWAY,BIOCARTA_SPPA_PATHWAY,STRING_900
BIOCARTA_CCR5_PATHWAY,BIOCARTA_VIP_PATHWAY,STRING_900
BIOCARTA_CCR5_PATHWAY,BIOCARTA_BCR_PATHWAY,STRING_900
BIOCARTA_CCR5_PATHWAY,BIOCARTA_GPCR_PATHWAY,STRING_900
BIOCARTA_CCR5_PATHWAY,BIOCARTA_AT1R_PATHWAY,STRING_900
BIOCARTA_CCR5_PATHWAY,BIOCARTA_CARDIACEGF_PATHWAY,STRING_900
BIOCARTA_CD40_PATHWAY,BIOCARTA_TNFR2_PATHWAY,STRING_900
BIOCARTA_CD40_PATHWAY,BIOCARTA_RELA_PATHWAY,STRING_900
BIOCARTA_CD40_PATHWAY,BIOCARTA_NFKB_PATHWAY,STRING_900
BIOCARTA_CD40_PATHWAY,BIOCARTA_TOLL_PATHWAY,STRING_900
BIOCARTA_CD40_PATHWAY,BIOCARTA_TALL1_PATHWAY,STRING_900
BIOCARTA_CDC25_PATHWAY,BIOCARTA_RB_PATHWAY,STRING_900
BIOCARTA_CDC25_PATHWAY,BIOCARTA_G2_PATHWAY,STRING_900
BIOCARTA_CDC25_PATHWAY,BIOCARTA_PTC1_PATHWAY,STRING_900
BIOCARTA_CDC25_PATHWAY,BIOCARTA_SRCRPTP_PATHWAY,STRING_900
BIOCARTA_CDC25_PATHWAY,BIOCARTA_PLK3_PATHWAY,STRING_900
BIOCARTA_CDC42RAC_PATHWAY,BIOCARTA_RAC1_PATHWAY,STRING_900
BIOCARTA_CDC42RAC_PATHWAY,BIOCARTA_EPHA4_PATHWAY,STRING_900
BIOCARTA_CDC42RAC_PATHWAY,BIOCARTA_INTEGRIN_PATHWAY,STRING_900
BIOCARTA_CDC42RAC_PATHWAY,BIOCARTA_ECM_PATHWAY,STRING_900
BIOCARTA_CDC42RAC_PATHWAY,BIOCARTA_MET_PATHWAY,STRING_900
BIOCARTA_CDK5_PATHWAY,BIOCARTA_NGF_PATHWAY,STRING_900
BIOCARTA_CDK5_PATHWAY,BIOCARTA_INSULIN_PATHWAY,STRING_900
BIOCARTA_CDK5_PATHWAY,BIOCARTA_IGF1_PATHWAY,STRING_900
BIOCARTA_CDK5_PATHWAY,BIOCARTA_ERK_PATHWAY,STRING_900
BIOCARTA_CDK5_PATHWAY,BIOCARTA_PDGF_PATHWAY,STRING_900
BIOCARTA_CDMAC_PATHWAY,BIOCARTA_KERATINOCYTE_PATHWAY,STRING_900
BIOCARTA_CDMAC_PATHWAY,BIOCARTA_PKC_PATHWAY,STRING_900
BIOCARTA_CDMAC_PATHWAY,BIOCARTA_CARDIACEGF_PATHWAY,STRING_900
BIOCARTA_CDMAC_PATHWAY,BIOCARTA_HCMV_PATHWAY,STRING_900
BIOCARTA_CDMAC_PATHWAY,BIOCARTA_AT1R_PATHWAY,STRING_900
BIOCARTA_CELL2CELL_PATHWAY,BIOCARTA_INTEGRIN_PATHWAY,STRING_900
BIOCARTA_CELL2CELL_PATHWAY,BIOCARTA_CDC42RAC_PATHWAY,STRING_900
BIOCARTA_CELL2CELL_PATHWAY,BIOCARTA_UCALPAIN_PATHWAY,STRING_900
BIOCARTA_CELL2CELL_PATHWAY,BIOCARTA_EPHA4_PATHWAY,STRING_900
BIOCARTA_CELL2CELL_PATHWAY,BIOCARTA_ECM_PATHWAY,STRING_900
BIOCARTA_CELLCYCLE_PATHWAY,BIOCARTA_G1_PATHWAY,STRING_900
BIOCARTA_CELLCYCLE_PATHWAY,BIOCARTA_EFP_PATHWAY,STRING_900
BIOCARTA_CELLCYCLE_PATHWAY,BIOCARTA_SKP2E2F_PATHWAY,STRING_900
BIOCARTA_CELLCYCLE_PATHWAY,BIOCARTA_P53_PATHWAY,STRING_900
BIOCARTA_CELLCYCLE_PATHWAY,BIOCARTA_FBW7_PATHWAY,STRING_900
BIOCARTA_CERAMIDE_PATHWAY,BIOCARTA_HIVNEF_PATHWAY,STRING_900
BIOCARTA_CERAMIDE_PATHWAY,BIOCARTA_KERATINOCYTE_PATHWAY,STRING_900
BIOCARTA_CERAMIDE_PATHWAY,BIOCARTA_STRESS_PATHWAY,STRING_900
BIOCARTA_CERAMIDE_PATHWAY,BIOCARTA_TNFR1_PATHWAY,STRING_900
BIOCARTA_CERAMIDE_PATHWAY,BIOCARTA_DEATH_PATHWAY,STRING_900
BIOCARTA_CFTR_PATHWAY,BIOCARTA_AGPCR_PATHWAY,STRING_900
BIOCARTA_CFTR_PATHWAY,BIOCARTA_PLCE_PATHWAY,STRING_900
BIOCARTA_CFTR_PATHWAY,BIOCARTA_DREAM_PATHWAY,STRING_900
BIOCARTA_CFTR_PATHWAY,BIOCARTA_STATHMIN_PATHWAY,STRING_900
BIOCARTA_CFTR_PATHWAY,BIOCARTA_MPR_PATHWAY,STRING_900
BIOCARTA_CHEMICAL_PATHWAY,BIOCARTA_HIVNEF_PATHWAY,STRING_900
BIOCARTA_CHEMICAL_PATHWAY,BIOCARTA_BCELLSURVIVAL_PATHWAY,STRING_900
BIOCARTA_CHEMICAL_PATHWAY,BIOCARTA_MITOCHONDRIA_PATHWAY,STRING_900
BIOCARTA_CHEMICAL_PATHWAY,BIOCARTA_FAS_PATHWAY,STRING_900
BIOCARTA_CHEMICAL_PATHWAY,BIOCARTA_DEATH_PATHWAY,STRING_900
BIOCARTA_CHREBP_PATHWAY,BIOCARTA_AKAP95_PATHWAY,STRING_900
BIOCARTA_CHREBP_PATHWAY,BIOCARTA_CARM1_PATHWAY,STRING_900
BIOCARTA_CHREBP_PATHWAY,BIOCARTA_MPR_PATHWAY,STRING_900
BIOCARTA_CHREBP_PATHWAY,BIOCARTA_STATHMIN_PATHWAY,STRING_900
BIOCARTA_CHREBP_PATHWAY,BIOCARTA_AKAPCENTROSOME_PATHWAY,STRING_900
BIOCARTA_CIRCADIAN_PATHWAY,BIOCARTA_PITX2_PATHWAY,STRING_900
BIOCARTA_CIRCADIAN_PATHWAY,BIOCARTA_CARM_ER_PATHWAY,STRING_900
BIOCARTA_CIRCADIAN_PATHWAY,BIOCARTA_PML_PATHWAY,STRING_900
BIOCARTA_CIRCADIAN_PATHWAY,BIOCARTA_ATM_PATHWAY,STRING_900
BIOCARTA_CIRCADIAN_PATHWAY,BIOCARTA_P53HYPOXIA_PATHWAY,STRING_900
BIOCARTA_CK1_PATHWAY,BIOCARTA_VIP_PATHWAY,STRING_900
BIOCARTA_CK1_PATHWAY,BIOCARTA_GPCR_PATHWAY,STRING_900
