Cell	Drug
SIDM01447	5329102
SIDM01449	5329102
SIDM01450	5329102
SIDM01451	5329102
SIDM01454	5329102
SIDM01460	5329102
SIDM01463	5329102
SIDM01464	5329102
SIDM01469	5329102
SIDM01470	5329102
SIDM01471	5329102
SIDM01472	5329102
SIDM01473	5329102
SIDM01474	5329102
SIDM01476	5329102
SIDM01479	5329102
SIDM01480	5329102
SIDM01482	5329102
SIDM01483	5329102
SIDM01490	5329102
SIDM01491	5329102
SIDM01492	5329102
SIDM01494	5329102
SIDM01498	5329102
SIDM01502	5329102
SIDM01503	5329102
SIDM01504	5329102
SIDM01510	5329102
SIDM01511	5329102
SIDM01512	5329102
SIDM01517	5329102
SIDM01518	5329102
SIDM01519	5329102
SIDM01520	5329102
SIDM01522	5329102
SIDM01523	5329102
SIDM01525	5329102
SIDM01526	5329102
SIDM01528	5329102
SIDM01529	5329102
SIDM01530	5329102
SIDM01531	5329102
SIDM01545	5329102
SIDM01546	5329102
SIDM01551	5329102
SIDM01553	5329102
SIDM01554	5329102
SIDM01556	5329102
SIDM01559	5329102
SIDM01560	5329102
SIDM01561	5329102
SIDM01563	5329102
SIDM01564	5329102
SIDM01565	5329102
SIDM01566	5329102
SIDM01567	5329102
SIDM01569	5329102
SIDM01570	5329102
SIDM01571	5329102
SIDM01572	5329102
SIDM01573	5329102
SIDM01574	5329102
SIDM01575	5329102
SIDM01577	5329102
SIDM01578	5329102
SIDM01580	5329102
SIDM01581	5329102
SIDM01582	5329102
SIDM01587	5329102
SIDM01588	5329102
SIDM01589	5329102
SIDM01590	5329102
SIDM01591	5329102
SIDM01593	5329102
SIDM01594	5329102
SIDM01596	5329102
SIDM01598	5329102
SIDM01602	5329102
SIDM01603	5329102
SIDM01604	5329102
SIDM01605	5329102
SIDM01606	5329102
SIDM01607	5329102
SIDM01608	5329102
SIDM01609	5329102
SIDM01611	5329102
SIDM01612	5329102
SIDM01613	5329102
SIDM01614	5329102
SIDM01615	5329102
SIDM01616	5329102
SIDM01617	5329102
SIDM01618	5329102
SIDM01619	5329102
SIDM01622	5329102
SIDM01624	5329102
SIDM01628	5329102
SIDM01629	5329102
SIDM01635	5329102
SIDM01640	5329102
SIDM01657	5329102
SIDM01658	5329102
SIDM01659	5329102
SIDM01660	5329102
SIDM01662	5329102
SIDM01664	5329102
SIDM01667	5329102
SIDM01668	5329102
SIDM01672	5329102
SIDM01675	5329102
SIDM01676	5329102
SIDM01679	5329102
SIDM01682	5329102
SIDM01685	5329102
SIDM01686	5329102
SIDM01689	5329102
SIDM01690	5329102
SIDM01691	5329102
SIDM01692	5329102
SIDM01693	5329102
SIDM01694	5329102
SIDM01695	5329102
SIDM01696	5329102
SIDM01697	5329102
SIDM01698	5329102
SIDM01699	5329102
SIDM01701	5329102
SIDM01702	5329102
SIDM01703	5329102
SIDM01704	5329102
SIDM01705	5329102
SIDM01709	5329102
SIDM01710	5329102
SIDM01724	5329102
SIDM01725	5329102
SIDM01726	5329102
SIDM01727	5329102
SIDM01728	5329102
SIDM01729	5329102
SIDM01730	5329102
SIDM01734	5329102
SIDM01739	5329102
SIDM01741	5329102
SIDM01743	5329102
SIDM01746	5329102
SIDM01749	5329102
SIDM01750	5329102
SIDM01752	5329102
SIDM01753	5329102
SIDM01756	5329102
SIDM01757	5329102
SIDM01758	5329102
SIDM01759	5329102
SIDM01760	5329102
SIDM01761	5329102
SIDM01762	5329102
SIDM01763	5329102
SIDM01764	5329102
SIDM01765	5329102
SIDM01766	5329102
SIDM01767	5329102
SIDM01768	5329102
SIDM01770	5329102
SIDM01771	5329102
SIDM01772	5329102
SIDM01773	5329102
SIDM01774	5329102
SIDM01775	5329102
SIDM01777	5329102
SIDM01779	5329102
SIDM01780	5329102
SIDM01781	5329102
SIDM01782	5329102
SIDM01820	5329102
SIDM01858	5329102
SIDM01859	5329102
SIDM01873	5329102
SIDM01942	5329102
SIDM01943	5329102
SIDM01944	5329102
SIDM01946	5329102
SIDM01947	5329102
SIDM01948	5329102
SIDM01949	5329102
SIDM01950	5329102
SIDM01951	5329102
SIDM01952	5329102
SIDM01954	5329102
SIDM01955	5329102
SIDM01956	5329102
SIDM01957	5329102
SIDM01958	5329102
SIDM01959	5329102
SIDM01960	5329102
SIDM01961	5329102
SIDM01962	5329102
SIDM01963	5329102
SIDM01964	5329102
SIDM01965	5329102
SIDM01966	5329102
SIDM02010	5329102
